gene_id	transcript_id
ABCC12	"uc002eey.1,uc002eez.1,uc002efa.1,uc002efb.1,uc002efc.1,uc002efd.1,uc002efe.1,uc010vgj.1"
ABCC13	"uc002yjq.2,uc002yjr.2,uc002yjs.2,uc010gkx.2"
ABCC1	"uc002del.3,uc010bvi.2,uc010bvj.2,uc010bvk.2,uc010bvl.2,uc010bvm.2,uc010bvn.2"
ABCC2	uc001kqf.2
ABCC3	"uc002isk.3,uc002isl.2,uc002ism.2,uc002isn.2"
ABCC4	"uc001vmd.3,uc001vme.2,uc001vmf.2,uc010afj.2,uc010afk.2,uc010afl.1,uc010afm.1,uc010tih.1"
ABCC5	"uc003fmg.2,uc003fmh.2,uc003fmi.3,uc010hxl.2,uc010hxm.2,uc010hxn.2,uc010hxo.2,uc011bqt.1"
ABCC6P1	"uc002dfg.2,uc010vam.1"
ABCC6P2	uc002dcu.2
ABCC6	"uc002dem.2,uc002den.3,uc002deo.3,uc010bvo.2,uc010uzz.1"
ABCC8	"uc001mnc.2,uc010rcy.1"
ABCC9	"uc001rfg.2,uc001rfh.2,uc001rfi.1,uc001rfj.1,uc001rfk.2,uc001rfl.1"
ABCD1	"uc004fif.2,uc004fig.2,uc004fih.2"
ABCD2	uc001rmb.2
ABCD3	"uc001dqm.3,uc001dqn.3,uc001dqo.3,uc009wdr.2,uc010oto.1,uc010otp.1"
ABCD4	"uc001xpr.2,uc001xps.2,uc001xpt.2,uc001xpu.2,uc001xpv.2,uc010tur.1"
ABCE1	"uc003ijx.2,uc003ijy.2,uc010iot.2"
ABCF1	"uc003nqk.2,uc003nql.2,uc003nqm.2,uc010jsb.2"
ABCF2	"uc003wjo.1,uc003wjp.2"
ABCF3	"uc003fmz.2,uc003fna.2,uc003fnb.2"
ABCG1	"uc002zam.2,uc002zan.2,uc002zao.2,uc002zap.2,uc002zaq.2,uc002zar.2,uc010gpb.1,uc011aev.1"
ABCG2	"uc003hrf.2,uc003hrg.2,uc003hrh.2,uc003hri.1,uc003hrj.1,uc003hrk.1"
ABCG4	"uc001pvs.2,uc001pvt.1,uc009zar.2"
ABCG5	"uc002rtm.2,uc002rtn.2,uc002rto.2,uc002rtp.2"
ABCG8	"uc002rtq.2,uc010yoa.1"
ABHD10	"uc003dyk.3,uc011bhq.1"
ABHD11	"uc003tza.2,uc003tzb.2,uc003tzc.2,uc003tzf.2,uc011kfb.1,uc011kfc.1"
ABHD12B	"uc001wyq.2,uc001wyr.2,uc001wys.2,uc010any.2"
ABHD12	"uc002wuq.2,uc002wur.2,uc002wus.1,uc002wut.1,uc002wuu.1"
ABHD13	uc001vqq.2
ABHD14A	"uc003dco.2,uc010hlz.2"
ABHD14B	"uc003dcm.2,uc003dcn.2,uc010hly.2,uc011bdy.1,uc011bdz.1"
ABHD15	uc002hed.1
ABHD1	"uc002rit.2,uc002riu.2,uc002riv.2,uc002riw.2"
ABHD2	"uc002bnj.2,uc002bnk.2,uc010ups.1"
ABHD3	"uc002ktk.2,uc002ktl.2,uc002ktm.2,uc002ktn.2,uc002kto.2,uc010xao.1"
ABHD4	"uc001wgm.2,uc010tmz.1,uc010tna.1,uc010tnb.1"
ABHD5	uc003cmx.2
ABHD6	"uc003djr.2,uc003djs.3,uc003djt.3"
ABHD8	uc002ngb.3
ABI1	"uc001isx.2,uc001isy.2,uc001isz.2,uc001ita.2,uc001itb.2,uc001itc.2,uc001itd.2,uc001ite.2,uc010qdg.1,uc010qdh.1,uc010qdi.1,uc010qdj.1,uc010qdk.1"
ABI2	"uc002uzz.2,uc002vaa.2,uc002vab.2,uc002vac.2,uc010zig.1,uc010zih.1,uc010zii.1,uc010zij.1,uc010zik.1,uc010zil.1,uc010zim.1,uc010zin.1"
ABI3BP	"uc003duj.2,uc003duk.2,uc003dul.2,uc003dum.2,uc003dun.2,uc003duo.2,uc003dup.3,uc011bhd.1"
ABI3	"uc002iop.1,uc002ioq.1"
ABL1	"uc004bzv.2,uc004bzw.2"
ABL2	"uc001gmg.3,uc001gmh.3,uc001gmi.3,uc001gmj.3,uc001gmk.2,uc009wxe.2,uc009wxf.1,uc010pne.1,uc010pnf.1,uc010png.1,uc010pnh.1"
ABLIM1	"uc001lbz.1,uc009xyn.2,uc009xyo.2,uc009xyp.2,uc010qsf.1,uc010qsg.1,uc010qsh.1,uc010qsi.1,uc010qsj.1,uc010qsk.1"
ABLIM2	"uc003gki.2,uc003gkj.3,uc003gkk.2,uc003gkl.2,uc003gkm.3,uc003gko.2,uc003gkp.2,uc003gkq.2,uc003gkr.2,uc003gks.3,uc011bwl.1"
ABLIM3	"uc003lpy.2,uc003lpz.1,uc003lqa.1,uc003lqb.2,uc003lqc.1,uc003lqd.1,uc003lqe.1,uc003lqf.2"
ABO	"uc004cda.1,uc010naf.1,uc010nag.1,uc011mcz.1"
ABP1	"uc003why.1,uc003whz.1,uc003wia.1"
ABRA	uc003ymm.3
ABR	"uc002fsd.2,uc002fse.2,uc002fsf.2,uc002fsg.2,uc002fsh.1,uc010cjq.1,uc010vqf.1,uc010vqg.1"
ABT1	uc003nii.2
ABTB1	"uc003ejr.2,uc003ejs.2,uc003ejt.2,uc003eju.2,uc010hsm.2"
ABTB2	uc001mvl.1
ACAA1	"uc003cht.2,uc003chu.2,uc003chv.2,uc010hgy.2,uc010hgz.2"
ACAA2	"uc002ldw.3,uc002ldx.3"
ACACA	"uc002hnk.2,uc002hnl.2,uc002hnm.2,uc002hnn.2,uc002hno.2,uc002hnp.1,uc002hnq.2,uc002hnr.1,uc010cuy.2,uc010cuz.2,uc010wdb.1,uc010wdc.1"
ACACB	"uc001tob.2,uc001toc.2,uc001tod.2,uc010sxl.1,uc010sxm.1"
ACAD10	"uc001tso.3,uc001tsp.2,uc001tsq.2,uc001tsr.2,uc001tss.1,uc009zvw.2,uc009zvx.2"
ACAD11	"uc003eov.3,uc003eoy.2,uc011blr.1"
ACAD8	"uc001qhk.2,uc001qhl.2,uc009zdc.2,uc009zde.1,uc010sco.1,uc010scp.1,uc010scq.1,uc010scr.1"
ACAD9	"uc003ela.3,uc003elb.2,uc003elc.1,uc003eld.1,uc003ele.2,uc010hsw.1,uc011bks.1"
ACADL	"uc002vdz.3,uc010zjg.1"
ACADM	"uc001dgw.3,uc001dgx.3,uc009wbp.2,uc009wbr.2,uc009wbs.1,uc010orc.1,uc010ord.1,uc010ore.1,uc010orf.1,uc010org.1"
ACADSB	"uc001lhb.2,uc010qub.1"
ACADS	"uc001tza.3,uc001tzb.3,uc010szl.1"
ACADVL	"uc002gev.2,uc002gew.2,uc002gex.2,uc010vtp.1,uc010vtq.1"
ACAN	"uc002bmx.2,uc002bna.2,uc010upo.1,uc010upp.1"
ACAP1	uc002ggd.2
ACAP2	"uc003fun.3,uc003fuo.2"
ACAP3	"uc001ady.2,uc001aea.2,uc001aeb.2,uc001aec.1"
ACAT1	"uc001pjw.1,uc001pjx.2,uc001pjy.2"
ACAT2	"uc010kjy.2,uc011efw.1"
ACBD3	uc001hpy.2
ACBD4	"uc002iic.2,uc002iid.2,uc002iie.2,uc002iif.2,uc010dae.2,uc010wjj.1"
ACBD5	"uc001ito.2,uc001itp.2,uc001itq.2,uc001itr.1,uc010qdm.1,uc010qdn.1,uc010qdo.1,uc010qdp.1"
ACBD6	uc001gog.2
ACBD7	"uc001inv.2,uc010qby.1"
ACCN1	"uc002hht.2,uc002hhu.2"
ACCN2	"uc001rvv.2,uc001rvw.2,uc009zln.2,uc009zlo.2"
ACCN3	"uc003win.2,uc003wio.2,uc003wip.2,uc003wiq.2"
ACCN4	"uc002vly.1,uc002vlz.2,uc002vma.2,uc002vmb.2,uc010fwi.1,uc010fwj.1"
ACCN5	uc003ipe.1
ACCSL	"uc001mxw.1,uc009ykr.2"
ACCS	"uc001mxx.2,uc009yks.1,uc010rfm.1,uc010rfn.1"
ACD	"uc002etp.3,uc002etq.3,uc002etr.3,uc010vjt.1"
ACE2	"uc004cxa.1,uc004cxb.2"
ACER1	uc002mel.2
ACER2	"uc003znx.1,uc003zny.1,uc003znz.1"
ACER3	"uc001oxu.2,uc009yul.1,uc009yum.1,uc009yun.1,uc009yuo.1,uc010rsg.1,uc010rsh.1,uc010rsi.1,uc010rsj.1"
ACE	"uc002jau.1,uc002jav.1,uc002jaw.1,uc010ddu.1,uc010ddv.1,uc010wph.1,uc010wpi.1,uc010wpj.1,uc010wpk.1"
ACHE	"uc003uxd.2,uc003uxe.2,uc003uxf.2,uc003uxg.2,uc003uxh.2,uc003uxi.2,uc003uxj.1"
ACIN1	"uc001wio.3,uc001wip.3,uc001wiq.3,uc001wir.3,uc001wis.3,uc001wit.3,uc010akg.2,uc010tnj.1"
ACLY	"uc002hyg.2,uc002hyh.2,uc002hyi.2,uc010wfx.1,uc010wfy.1"
ACMSD	"uc002ttz.2,uc002tua.2"
ACN9	uc003uoo.3
ACO1	"uc003zqw.3,uc003zqx.3,uc003zqy.3,uc010mjh.1"
ACO2	"uc003bac.2,uc003bad.2"
ACOT11	"uc001cxj.1,uc001cxk.2,uc001cxl.1,uc001cxm.1"
ACOT12	"uc003khl.3,uc003khm.2"
ACOT13	"uc003nek.2,uc010jpv.2"
ACOT1	"uc001xol.1,uc010tuc.1"
ACOT2	"uc001xom.2,uc001xon.3"
ACOT4	uc001xoo.2
ACOT6	uc001xop.2
ACOT7	"uc001amq.2,uc001amr.2,uc001ams.2,uc001amt.2,uc001amu.2,uc001amv.2,uc010nzq.1"
ACOT8	"uc002xqa.1,uc002xqc.1,uc010zxe.1,uc010zxf.1"
ACOT9	"uc004dan.2,uc004dao.2,uc004dap.2,uc004daq.2,uc004dar.2,uc004das.2,uc004dat.1,uc011mjt.1"
ACOX1	"uc002jqe.2,uc002jqf.2,uc010wsq.1,uc010wsr.1"
ACOX2	uc003dkl.2
ACOX3	"uc003glc.3,uc003gld.3,uc003gle.1,uc010idk.2"
ACOXL	"uc002tgr.3,uc010fkc.2,uc010yxk.1"
ACP1	"uc002qwd.2,uc002qwe.3,uc002qwf.2,uc002qwg.2,uc002qwh.2"
ACP2	"uc001nei.2,uc009ylj.2,uc009ylk.2,uc010rhe.1,uc010rhf.1,uc010rhg.1,uc010rhh.1,uc010rhi.1,uc010rhj.1"
ACP5	"uc002msg.3,uc002msh.3,uc002msi.3,uc002msj.3,uc010dye.1"
ACP6	"uc001epr.2,uc009wjj.1"
ACPL2	"uc003etu.2,uc003etv.2,uc011bna.1,uc011bnb.1"
ACPP	"uc003eon.3,uc003eop.3,uc010htp.2"
ACPT	uc002pta.1
ACRBP	"uc001qpt.1,uc001qpu.1,uc010sfg.1"
ACRC	uc004eae.2
ACRV1	"uc001qck.2,uc001qcl.2,uc001qcm.2,uc001qcn.2,uc001qco.2,uc001qcp.2,uc001qcq.2,uc001qcr.2,uc001qcs.2"
ACR	"uc003bnh.3,uc010hbh.1"
ACSBG1	"uc002bdh.2,uc010umw.1,uc010umx.1,uc010umy.1"
ACSBG2	"uc002mee.1,uc002mef.1,uc002meg.1,uc002meh.1,uc002mei.1,uc010xiz.1"
ACSF2	"uc002iqu.2,uc010dbt.1,uc010wml.1,uc010wmm.1,uc010wmn.1,uc010wmo.1"
ACSF3	"uc002fmp.2,uc002fmq.1,uc002fmr.1,uc010cig.1,uc010cih.1,uc010cii.1"
ACSL1	"uc003iws.1,uc003iwt.1,uc003iwu.1,uc003iwv.1,uc003iww.2,uc010ise.1,uc011ckm.1,uc011ckn.1"
ACSL3	"uc002vni.2,uc002vnj.2,uc002vnk.2"
ACSL4	"uc004eoi.2,uc004eoj.2,uc004eok.2,uc010npp.1"
ACSL5	"uc001kzs.2,uc001kzt.2,uc001kzu.2,uc009xxz.2,uc010qrj.1"
ACSL6	"uc003kvv.1,uc003kvw.1,uc003kvx.1,uc003kvy.1,uc003kvz.1,uc003kwa.1,uc003kwb.2,uc003kwc.1,uc003kwd.1,uc010jdn.1,uc010jdo.1,uc010jdp.1"
ACSM1	"uc002dhm.1,uc002dhn.1,uc010bwg.1"
ACSM2A	"uc002dhf.3,uc002dhg.3,uc002dhh.3,uc010bwd.1,uc010bwe.2,uc010vax.1,uc010vay.1"
ACSM2B	"uc002dhj.3,uc002dhk.3,uc010bwf.1"
ACSM3	"uc002dhq.2,uc002dhr.2,uc010vba.1"
ACSM4	uc001qsx.1
ACSM5	"uc002dhd.1,uc002dhe.2"
ACSS1	"uc002wua.2,uc002wub.2,uc002wuc.2,uc002wud.1,uc010gdc.2"
ACSS2	"uc002xbc.2,uc002xbd.2,uc002xbe.2,uc002xbf.2,uc010gey.2,uc010zum.1"
ACSS3	"uc001szl.1,uc001szm.1,uc001szn.1"
ACTA1	uc001htm.2
ACTA2	"uc001kfp.2,uc001kfq.2,uc010qmy.1,uc010qmz.1"
ACTBL2	uc003jrm.2
ACTB	"uc003soq.3,uc003sor.3,uc003sos.3,uc003sot.3,uc010ksy.2,uc011jwi.1"
ACTC1	uc001ziu.1
ACTG1	"uc002kag.2,uc002kah.1,uc002kai.1,uc002kaj.1,uc002kak.1,uc002kal.1,uc010wun.1"
ACTG2	"uc002sjw.2,uc010fex.1,uc010fey.2,uc010yrn.1"
ACTL6A	"uc003fjw.2,uc003fjx.2,uc003fjy.2"
ACTL6B	"uc003uvx.1,uc003uvy.2,uc003uvz.2"
ACTL7A	uc004bdj.1
ACTL7B	uc004bdi.2
ACTL8	uc001bat.2
ACTL9	uc002mkl.2
ACTN1	"uc001xkk.2,uc001xkl.2,uc001xkm.2,uc001xkn.2,uc001xko.1,uc010ttb.1,uc010ttc.1,uc010ttd.1"
ACTN2	"uc001hyf.2,uc001hyg.2,uc001hyh.2,uc009xgi.1,uc010pxu.1"
ACTN3	"uc001oio.1,uc010rpi.1"
ACTN4	"uc002oja.1,uc002ojb.1,uc010egc.1"
ACTR10	"uc001xdf.2,uc001xdg.2,uc001xdh.2,uc010apc.2,uc010trp.1"
ACTR1A	"uc001kvv.2,uc010qqn.1,uc010qqo.1"
ACTR1B	uc002syb.2
ACTR2	"uc002sdp.2,uc002sdq.2,uc010yqf.1,uc010yqg.1"
ACTR3B	"uc003wle.1,uc003wlf.1,uc003wlg.1,uc011kvp.1"
ACTR3C	uc003wgu.1
ACTR3	"uc002tkx.1,uc010yyc.1,uc010yyd.1"
ACTR5	uc002xjd.2
ACTR6	"uc001thb.1,uc001thc.1,uc001thd.1,uc001the.1,uc001thf.1,uc009ztu.1,uc010svh.1"
ACTR8	"uc003dhb.2,uc003dhc.2,uc003dhd.2"
ACTRT1	uc004eum.2
ACTRT2	uc001ajz.2
ACVR1B	"uc001rzl.2,uc001rzm.2,uc001rzn.2,uc010snn.1"
ACVR1C	"uc002tzk.3,uc002tzl.3,uc010foe.2,uc010fof.2"
ACVR1	"uc002tzm.3,uc002tzn.3,uc010fog.2"
ACVR2A	"uc002twg.2,uc002twh.2,uc010zbn.1"
ACVR2B	"uc003cif.2,uc003cig.2"
ACVRL1	"uc001rzj.2,uc001rzk.2,uc010snm.1"
ACY1	"uc003dcp.2,uc003dcq.2,uc011bea.1,uc011beb.1"
ACY3	uc001omq.2
ACYP1	"uc001xrf.2,uc001xrg.2"
ACYP2	uc002rxq.3
ADAD1	"uc003ieo.2,uc003iep.2,uc003ieq.2"
ADAD2	"uc002fhq.2,uc002fhr.2"
ADAL	"uc001zrh.2,uc001zri.1,uc010udo.1"
ADAM10	"uc002afd.1,uc002afe.1,uc002aff.1,uc002afg.2,uc010bgc.1,uc010ugz.1"
ADAM11	"uc002ihh.2,uc002ihi.2,uc010wjd.1"
ADAM12	"uc001ljj.1,uc001ljk.2,uc001ljl.3,uc001ljm.2,uc001ljn.2,uc010qul.1"
ADAM15	"uc001fgq.1,uc001fgr.1,uc001fgs.1,uc001fgt.1,uc001fgu.1,uc001fgv.1,uc001fgw.1,uc001fgx.1,uc001fgy.1,uc001fgz.1,uc001fha.1,uc001fhb.1,uc009wpc.1,uc010pet.1,uc010peu.1,uc010pev.1"
ADAM17	"uc002qzu.2,uc002qzv.2,uc010ewy.2,uc010ewz.2,uc010exa.2,uc010exb.1"
ADAM18	"uc003xnh.2,uc003xni.2,uc010lww.2,uc010lwx.2"
ADAM19	"uc003lww.1,uc003lwy.2,uc003lwz.2,uc011ddr.1"
ADAM20	uc001xme.2
ADAM21P1	uc010ttg.1
ADAM21	uc001xmd.2
ADAM22	"uc003uji.1,uc003ujj.1,uc003ujk.1,uc003ujl.1,uc003ujm.2,uc003ujn.2,uc003ujo.2,uc003ujp.1"
ADAM23	"uc002vbq.2,uc010ziv.1"
ADAM28	"uc003xdx.2,uc003xdy.2,uc010lua.2,uc011kzz.1,uc011laa.1"
ADAM29	"uc003iuc.2,uc003iud.2,uc010irr.2,uc011cki.1"
ADAM2	"uc003xnj.2,uc003xnk.2,uc003xnl.2,uc011lck.1"
ADAM30	uc001eij.2
ADAM32	"uc003xmt.3,uc003xmu.3,uc003xmv.2,uc011lch.1"
ADAM33	"uc002wiq.1,uc002wir.1,uc002wis.2,uc002wit.2,uc002wiu.2,uc002wiw.1,uc002wix.1,uc002wiy.2,uc010gba.1,uc010gbb.1,uc010zqg.1,uc010zqh.1"
ADAM3A	"uc003xnd.2,uc003xne.2,uc003xnf.2,uc003xng.3,uc010lwv.2,uc011lci.1,uc011lcj.1"
ADAM5P	"uc003xmw.2,uc003xmx.1,uc003xmy.1,uc003xmz.1,uc003xna.2,uc003xnb.2,uc003xnc.2,uc010lws.1,uc010lwt.1,uc010lwu.1"
ADAM6	"uc001ysu.1,uc010tyt.1"
ADAM7	"uc003xea.1,uc003xeb.2,uc003xec.2"
ADAM8	"uc009ybi.2,uc009ybj.1,uc010quz.1,uc010qva.1,uc010qvb.1"
ADAM9	"uc003xmo.1,uc003xmp.2,uc003xmr.2,uc003xms.2,uc010lwr.2,uc011lcf.1,uc011lcg.1"
ADAMDEC1	"uc003xdz.2,uc010lub.2,uc011lab.1"
ADAMTS10	"uc002mki.1,uc002mkj.1,uc002mkk.1"
ADAMTS12	"uc003jia.1,uc003jib.1,uc010iuq.1"
ADAMTS13	"uc004cdp.3,uc004cdq.1,uc004cdr.1,uc004cds.1,uc004cdt.1,uc004cdu.1,uc004cdv.3,uc004cdw.3,uc004cdx.3,uc004cdy.1,uc004cdz.3,uc004cea.1,uc004ceb.3"
ADAMTS14	"uc001jrg.2,uc001jrh.2,uc001jri.1,uc010qjl.1"
ADAMTS15	uc010scd.1
ADAMTS16	"uc003jdj.1,uc003jdk.1,uc003jdl.2,uc010itk.1"
ADAMTS17	"uc002bvv.1,uc002bvw.1,uc002bvx.1"
ADAMTS18	"uc002ffc.3,uc002ffe.1,uc010chc.1,uc010vni.1"
ADAMTS19	"uc003kvb.1,uc003kvc.1,uc010jdh.1"
ADAMTS1	uc002ymf.2
ADAMTS20	"uc001rno.1,uc001rnp.1,uc010skx.1"
ADAMTS2	"uc003mjw.2,uc011dgm.1"
ADAMTS3	"uc003hgk.1,uc003hgl.2"
ADAMTS4	"uc001fyt.3,uc001fyu.2"
ADAMTS5	uc002ymg.2
ADAMTS6	"uc003jto.2,uc003jtp.2,uc003jtq.2,uc003jtr.1"
ADAMTS7	"uc002bej.3,uc002bek.1,uc010und.1"
ADAMTS8	"uc001qgf.2,uc001qgg.3"
ADAMTS9	"uc003dmg.2,uc003dmh.1,uc003dmk.1,uc011bfo.1,uc011bfp.1"
ADAMTSL1	"uc003znb.2,uc003znc.3,uc003zne.3,uc003znf.3,uc003zng.1"
ADAMTSL2	"uc004cei.2,uc004cej.2,uc011mdl.1"
ADAMTSL3	"uc002bjy.1,uc002bjz.3,uc010bmt.1,uc010bmu.1"
ADAMTSL4	"uc001euw.2,uc001eux.2,uc009wlv.1,uc009wlw.2,uc009wlx.2,uc010pcg.1"
ADAMTSL5	"uc002ltd.2,uc010dsl.2,uc010xgq.1"
ADAP1	"uc003sjm.3,uc003sjn.3,uc003sjo.3,uc010ksc.2,uc011jvs.1"
ADAP2	"uc002hfx.2,uc002hfy.2,uc010csk.2,uc010csl.2"
ADARB1	"uc002zgp.2,uc002zgq.2,uc002zgr.2,uc002zgs.2,uc002zgt.2,uc002zgu.2,uc002zgv.2,uc002zgw.2,uc002zgy.2,uc010gpx.2,uc011afo.1"
ADARB2	"uc001igl.3,uc001igm.3,uc009xhp.2,uc009xhq.2"
ADAR	"uc001ffh.2,uc001ffi.2,uc001ffj.2,uc001ffk.2,uc001ffl.1,uc001ffm.1,uc001ffn.1"
ADAT1	"uc002feo.1,uc002fep.1"
ADAT2	"uc003qjj.2,uc003qjk.1"
ADAT3	uc002luh.2
ADA	"uc002xmj.2,uc010ggt.2"
ADCK1	"uc001xui.2,uc001xuj.2,uc001xuk.1,uc001xul.2,uc010tvo.1"
ADCK2	"uc003vvy.1,uc003vvz.2"
ADCK4	"uc002oop.1,uc002ooq.1,uc002oor.2,uc002oos.2"
ADCK5	"uc003zcg.2,uc003zch.2,uc003zci.2"
ADCY10	"uc001ger.2,uc009wvj.2,uc009wvk.2,uc009wvl.2,uc009wvm.2,uc010plj.1"
ADCY1	"uc003tnd.2,uc003tne.3"
ADCY2	"uc003jdz.1,uc010itm.1,uc011cmo.1"
ADCY3	"uc002rfr.3,uc002rfs.3,uc010ykm.1"
ADCY4	"uc001wov.2,uc001wow.2,uc001wox.2,uc001woy.2,uc001woz.3,uc010toh.1"
ADCY5	"uc003egg.1,uc003egh.1,uc003egi.1"
ADCY6	"uc001rsh.3,uc001rsi.3,uc001rsj.3,uc010slw.1"
ADCY7	"uc002egb.1,uc002egc.1,uc002egd.1"
ADCY8	"uc003ytd.3,uc010mds.2"
ADCY9	uc002cvx.2
ADCYAP1R1	"uc003tca.1,uc003tcb.1,uc003tcc.1,uc003tcd.1,uc003tce.1,uc003tcf.1"
ADCYAP1	"uc010dkg.2,uc010dkh.2"
ADC	"uc001bwr.2,uc001bws.2,uc001bwt.1,uc001bwu.2,uc001bwv.2,uc001bww.2,uc001bwx.1,uc001bwy.1,uc001bwz.1,uc009vue.2,uc009vuf.1,uc009vug.2"
